"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","2940","0.0-0.0","o89gqnsgzz","many_one","0","indirect_first","0","in04el10","1","23","1","1","3","1","Sehr sehr schwierig zwischen den Zeichen zu differenzieren. Das sich Teile der Zeichen wiederholt haben, ist mir schnell aufgefallen, jedoch ist die Einschätzung in unangenehm und angenehm in verschiedenen Kontexten sehr schwierig.","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","15707","0.0-1.0","o89gqnsgzz","many_one","0","indirect_first","0","in04el10","1","23","1","1","3","1","Sehr sehr schwierig zwischen den Zeichen zu differenzieren. Das sich Teile der Zeichen wiederholt haben, ist mir schnell aufgefallen, jedoch ist die Einschätzung in unangenehm und angenehm in verschiedenen Kontexten sehr schwierig.","0","1","0","12724.255000000085","text/information.html","","","","","","","","","","","","",""
"","external-html","2","29811","0.0-2.0","o89gqnsgzz","many_one","0","indirect_first","0","in04el10","1","23","1","1","3","1","Sehr sehr schwierig zwischen den Zeichen zu differenzieren. Das sich Teile der Zeichen wiederholt haben, ist mir schnell aufgefallen, jedoch ist die Einschätzung in unangenehm und angenehm in verschiedenen Kontexten sehr schwierig.","0","1","0","14005.070000000163","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","65231","0.0-3.0","o89gqnsgzz","many_one","0","indirect_first","0","in04el10","1","23","1","1","3","1","Sehr sehr schwierig zwischen den Zeichen zu differenzieren. Das sich Teile der Zeichen wiederholt haben, ist mir schnell aufgefallen, jedoch ist die Einschätzung in unangenehm und angenehm in verschiedenen Kontexten sehr schwierig.","0","1","0","35417.32500000035","","{""codeword_enter"":""in04el10""}","","","","","","","","","","","",""
"","survey-html-form","4","80518","0.0-4.0","o89gqnsgzz","many_one","0","indirect_first","0","in04el10","1","23","1","1","3","1","Sehr sehr schwierig zwischen den Zeichen zu differenzieren. Das sich Teile der Zeichen wiederholt haben, ist mir schnell aufgefallen, jedoch ist die Einschätzung in unangenehm und angenehm in verschiedenen Kontexten sehr schwierig.","0","1","0","15283.429999999964","","{""age"":""23"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","92303","0.0-5.0","o89gqnsgzz","many_one","0","indirect_first","0","in04el10","1","23","1","1","3","1","Sehr sehr schwierig zwischen den Zeichen zu differenzieren. Das sich Teile der Zeichen wiederholt haben, ist mir schnell aufgefallen, jedoch ist die Einschätzung in unangenehm und angenehm in verschiedenen Kontexten sehr schwierig.","0","1","0","11782.470000000103","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","96317","0.0-6.0-0.0-0.0","o89gqnsgzz","many_one","0","indirect_first","0","in04el10","1","23","1","1","3","1","Sehr sehr schwierig zwischen den Zeichen zu differenzieren. Das sich Teile der Zeichen wiederholt haben, ist mir schnell aufgefallen, jedoch ist die Einschätzung in unangenehm und angenehm in verschiedenen Kontexten sehr schwierig.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9520.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","7","98836","0.0-6.0-0.0-0.1","o89gqnsgzz","many_one","0","indirect_first","0","in04el10","1","23","1","1","3","1","Sehr sehr schwierig zwischen den Zeichen zu differenzieren. Das sich Teile der Zeichen wiederholt haben, ist mir schnell aufgefallen, jedoch ist die Einschätzung in unangenehm und angenehm in verschiedenen Kontexten sehr schwierig.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2165.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","8","101366","0.0-6.0-0.0-0.2","o89gqnsgzz","many_one","0","indirect_first","0","in04el10","1","23","1","1","3","1","Sehr sehr schwierig zwischen den Zeichen zu differenzieren. Das sich Teile der Zeichen wiederholt haben, ist mir schnell aufgefallen, jedoch ist die Einschätzung in unangenehm und angenehm in verschiedenen Kontexten sehr schwierig.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","9","103876","0.0-6.0-0.0-0.3","o89gqnsgzz","many_one","0","indirect_first","0","in04el10","1","23","1","1","3","1","Sehr sehr schwierig zwischen den Zeichen zu differenzieren. Das sich Teile der Zeichen wiederholt haben, ist mir schnell aufgefallen, jedoch ist die Einschätzung in unangenehm und angenehm in verschiedenen Kontexten sehr schwierig.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8350.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","10","106394","0.0-6.0-0.0-0.4","o89gqnsgzz","many_one","0","indirect_first","0","in04el10","1","23","1","1","3","1","Sehr sehr schwierig zwischen den Zeichen zu differenzieren. Das sich Teile der Zeichen wiederholt haben, ist mir schnell aufgefallen, jedoch ist die Einschätzung in unangenehm und angenehm in verschiedenen Kontexten sehr schwierig.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3160.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS3.png","","","","",""
"","html-keyboard-response","11","108904","0.0-6.0-0.0-0.5","o89gqnsgzz","many_one","0","indirect_first","0","in04el10","1","23","1","1","3","1","Sehr sehr schwierig zwischen den Zeichen zu differenzieren. Das sich Teile der Zeichen wiederholt haben, ist mir schnell aufgefallen, jedoch ist die Einschätzung in unangenehm und angenehm in verschiedenen Kontexten sehr schwierig.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9180.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
"","html-keyboard-response","12","111420","0.0-6.0-0.0-0.6","o89gqnsgzz","many_one","0","indirect_first","0","in04el10","1","23","1","1","3","1","Sehr sehr schwierig zwischen den Zeichen zu differenzieren. Das sich Teile der Zeichen wiederholt haben, ist mir schnell aufgefallen, jedoch ist die Einschätzung in unangenehm und angenehm in verschiedenen Kontexten sehr schwierig.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9182.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","13","113941","0.0-6.0-0.0-0.7","o89gqnsgzz","many_one","0","indirect_first","0","in04el10","1","23","1","1","3","1","Sehr sehr schwierig zwischen den Zeichen zu differenzieren. Das sich Teile der Zeichen wiederholt haben, ist mir schnell aufgefallen, jedoch ist die Einschätzung in unangenehm und angenehm in verschiedenen Kontexten sehr schwierig.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","14","116471","0.0-6.0-0.0-0.8","o89gqnsgzz","many_one","0","indirect_first","0","in04el10","1","23","1","1","3","1","Sehr sehr schwierig zwischen den Zeichen zu differenzieren. Das sich Teile der Zeichen wiederholt haben, ist mir schnell aufgefallen, jedoch ist die Einschätzung in unangenehm und angenehm in verschiedenen Kontexten sehr schwierig.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2058.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS10.png","","","","",""
