"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","20305","0.0-0.0","o9vyrz7fr9","many_one","0","direct_first","1","ER04AS20","0","25","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","39680","0.0-1.0","o9vyrz7fr9","many_one","0","direct_first","1","ER04AS20","0","25","1","1","3","1","","0","1","0","19294.69500000414","text/information.html","","","","","","","","","","","","",""
"","external-html","2","58215","0.0-2.0","o9vyrz7fr9","many_one","0","direct_first","1","ER04AS20","0","25","1","1","3","1","","0","1","0","18458.07000000059","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","123818","0.0-3.0","o9vyrz7fr9","many_one","0","direct_first","1","ER04AS20","0","25","1","1","3","1","","0","1","0","65598.66499999771","","{""codeword_enter"":""ER04AS20""}","","","","","","","","","","","",""
"","survey-html-form","4","143524","0.0-4.0","o9vyrz7fr9","many_one","0","direct_first","1","ER04AS20","0","25","1","1","3","1","","0","1","0","19702.8599999976","","{""age"":""25"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","154495","0.0-5.0","o9vyrz7fr9","many_one","0","direct_first","1","ER04AS20","0","25","1","1","3","1","","0","1","0","10967.544999999518","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","158501","0.0-6.0-0.0-0.0","o9vyrz7fr9","many_one","0","direct_first","1","ER04AS20","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","7","161009","0.0-6.0-0.0-0.1","o9vyrz7fr9","many_one","0","direct_first","1","ER04AS20","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/4599.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS3.png","","","","",""
"","html-keyboard-response","8","163518","0.0-6.0-0.0-0.2","o9vyrz7fr9","many_one","0","direct_first","1","ER04AS20","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9330.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","9","166027","0.0-6.0-0.0-0.3","o9vyrz7fr9","many_one","0","direct_first","1","ER04AS20","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","10","168535","0.0-6.0-0.0-0.4","o9vyrz7fr9","many_one","0","direct_first","1","ER04AS20","0","25","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS8.png","","","","",""
