"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","3427","0.0-0.0","opehl4k9op","many_one","0","indirect_first","0","la05ph15","1","23","1","1","1","2","","","","","","","","","","","","","","",""
"","external-html","1","54762","0.0-1.0","opehl4k9op","many_one","0","indirect_first","0","la05ph15","1","23","1","1","1","2","51271","text/information.html","","","","","","","","","","","","",""
"","external-html","2","68866","0.0-2.0","opehl4k9op","many_one","0","indirect_first","0","la05ph15","1","23","1","1","1","2","14079","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","126026","0.0-3.0","opehl4k9op","many_one","0","indirect_first","0","la05ph15","1","23","1","1","1","2","57157","","{""codeword_enter"":""la05ph15""}","","","","","","","","","","","",""
"","survey-html-form","4","141708","0.0-4.0","opehl4k9op","many_one","0","indirect_first","0","la05ph15","1","23","1","1","1","2","15681","","{""age"":""23"",""education"":""1"",""subject"":""1"",""gender"":""1"",""handedness"":""2"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","156731","0.0-5.0","opehl4k9op","many_one","0","indirect_first","0","la05ph15","1","23","1","1","1","2","15022","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","160768","0.0-6.0-0.0-0.0","opehl4k9op","many_one","0","indirect_first","0","la05ph15","1","23","1","1","1","2","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2341.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","7","163308","0.0-6.0-0.0-0.1","opehl4k9op","many_one","0","indirect_first","0","la05ph15","1","23","1","1","1","2","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2141.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","8","165849","0.0-6.0-0.0-0.2","opehl4k9op","many_one","0","indirect_first","0","la05ph15","1","23","1","1","1","2","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8461.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","9","168388","0.0-6.0-0.0-0.3","opehl4k9op","many_one","0","indirect_first","0","la05ph15","1","23","1","1","1","2","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","10","170929","0.0-6.0-0.0-0.4","opehl4k9op","many_one","0","indirect_first","0","la05ph15","1","23","1","1","1","2","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS10.png","","","","",""
