"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","4901","0.0-0.0","oqpth3331g","many_one","0","indirect_first","0","CK05EN27","1","22","1","1","3","1","","","","","","","","","","","","","","",""
"","external-html","1","40218","0.0-1.0","oqpth3331g","many_one","0","indirect_first","0","CK05EN27","1","22","1","1","3","1","35271.415000082925","text/information.html","","","","","","","","","","","","",""
"","external-html","2","58147","0.0-2.0","oqpth3331g","many_one","0","indirect_first","0","CK05EN27","1","22","1","1","3","1","17847.765000071377","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","90563","0.0-3.0","oqpth3331g","many_one","0","indirect_first","0","CK05EN27","1","22","1","1","3","1","32411.9649999775","","{""codeword_enter"":""CK05EN27""}","","","","","","","","","","","",""
"","survey-html-form","4","149484","0.0-4.0","oqpth3331g","many_one","0","indirect_first","0","CK05EN27","1","22","1","1","3","1","58917.35000000335","","{""age"":""22"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","201585","0.0-5.0","oqpth3331g","many_one","0","indirect_first","0","CK05EN27","1","22","1","1","3","1","52098.50999992341","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","205600","0.0-6.0-0.0-0.0","oqpth3331g","many_one","0","indirect_first","0","CK05EN27","1","22","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2208.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","7","208107","0.0-6.0-0.0-0.1","oqpth3331g","many_one","0","indirect_first","0","CK05EN27","1","22","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6570.1.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","8","210614","0.0-6.0-0.0-0.2","oqpth3331g","many_one","0","indirect_first","0","CK05EN27","1","22","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1463.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","9","213121","0.0-6.0-0.0-0.3","oqpth3331g","many_one","0","indirect_first","0","CK05EN27","1","22","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","10","215632","0.0-6.0-0.0-0.4","oqpth3331g","many_one","0","indirect_first","0","CK05EN27","1","22","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","11","218143","0.0-6.0-0.0-0.5","oqpth3331g","many_one","0","indirect_first","0","CK05EN27","1","22","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2900.2.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS3.png","","","","",""
