"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","3673","0.0-0.0","osq0w7gol0","many_one","0","direct_first","1","ER06ST23","0","25","1","1","3","1","Ich fand es sehr schwierig, eine Antwort auf diese Fragen zu geben. Ich habe zwar immer aus dem ersten Gefühl heraus entschieden, habe mir aber auch immer kurz danach gedacht, dass ich auch genauso die andere Antwort hätte wählen können...","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","8983","0.0-1.0","osq0w7gol0","many_one","0","direct_first","1","ER06ST23","0","25","1","1","3","1","Ich fand es sehr schwierig, eine Antwort auf diese Fragen zu geben. Ich habe zwar immer aus dem ersten Gefühl heraus entschieden, habe mir aber auch immer kurz danach gedacht, dass ich auch genauso die andere Antwort hätte wählen können...","0","1","0","5248","text/information.html","","","","","","","","","","","","",""
"","external-html","2","19715","0.0-2.0","osq0w7gol0","many_one","0","direct_first","1","ER06ST23","0","25","1","1","3","1","Ich fand es sehr schwierig, eine Antwort auf diese Fragen zu geben. Ich habe zwar immer aus dem ersten Gefühl heraus entschieden, habe mir aber auch immer kurz danach gedacht, dass ich auch genauso die andere Antwort hätte wählen können...","0","1","0","10672","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","32032","0.0-3.0","osq0w7gol0","many_one","0","direct_first","1","ER06ST23","0","25","1","1","3","1","Ich fand es sehr schwierig, eine Antwort auf diese Fragen zu geben. Ich habe zwar immer aus dem ersten Gefühl heraus entschieden, habe mir aber auch immer kurz danach gedacht, dass ich auch genauso die andere Antwort hätte wählen können...","0","1","0","12314","","{""codeword_enter"":""ER06ST23""}","","","","","","","","","","","",""
"","survey-html-form","4","48606","0.0-4.0","osq0w7gol0","many_one","0","direct_first","1","ER06ST23","0","25","1","1","3","1","Ich fand es sehr schwierig, eine Antwort auf diese Fragen zu geben. Ich habe zwar immer aus dem ersten Gefühl heraus entschieden, habe mir aber auch immer kurz danach gedacht, dass ich auch genauso die andere Antwort hätte wählen können...","0","1","0","16566","","{""age"":""25"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","50312","0.0-5.0","osq0w7gol0","many_one","0","direct_first","1","ER06ST23","0","25","1","1","3","1","Ich fand es sehr schwierig, eine Antwort auf diese Fragen zu geben. Ich habe zwar immer aus dem ersten Gefühl heraus entschieden, habe mir aber auch immer kurz danach gedacht, dass ich auch genauso die andere Antwort hätte wählen können...","0","1","0","1700","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","54327","0.0-6.0-0.0-0.0","osq0w7gol0","many_one","0","direct_first","1","ER06ST23","0","25","1","1","3","1","Ich fand es sehr schwierig, eine Antwort auf diese Fragen zu geben. Ich habe zwar immer aus dem ersten Gefühl heraus entschieden, habe mir aber auch immer kurz danach gedacht, dass ich auch genauso die andere Antwort hätte wählen können...","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","7","56854","0.0-6.0-0.0-0.1","osq0w7gol0","many_one","0","direct_first","1","ER06ST23","0","25","1","1","3","1","Ich fand es sehr schwierig, eine Antwort auf diese Fragen zu geben. Ich habe zwar immer aus dem ersten Gefühl heraus entschieden, habe mir aber auch immer kurz danach gedacht, dass ich auch genauso die andere Antwort hätte wählen können...","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9330.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","8","59384","0.0-6.0-0.0-0.2","osq0w7gol0","many_one","0","direct_first","1","ER06ST23","0","25","1","1","3","1","Ich fand es sehr schwierig, eine Antwort auf diese Fragen zu geben. Ich habe zwar immer aus dem ersten Gefühl heraus entschieden, habe mir aber auch immer kurz danach gedacht, dass ich auch genauso die andere Antwort hätte wählen können...","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2040.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","9","61914","0.0-6.0-0.0-0.3","osq0w7gol0","many_one","0","direct_first","1","ER06ST23","0","25","1","1","3","1","Ich fand es sehr schwierig, eine Antwort auf diese Fragen zu geben. Ich habe zwar immer aus dem ersten Gefühl heraus entschieden, habe mir aber auch immer kurz danach gedacht, dass ich auch genauso die andere Antwort hätte wählen können...","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5621.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS1.png","","","","",""
