"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","6402","0.0-0.0","pasy3nj0f2","many_one","0","indirect_first","0","neiako08","0","24","1","1","4","1","Ich hätte es schön gefunden, wenn der Bearbeitungsfortschritt in Prozent angezeigt worden wäre.","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","31266","0.0-1.0","pasy3nj0f2","many_one","0","indirect_first","0","neiako08","0","24","1","1","4","1","Ich hätte es schön gefunden, wenn der Bearbeitungsfortschritt in Prozent angezeigt worden wäre.","0","1","0","24769","text/information.html","","","","","","","","","","","","",""
"","external-html","2","41896","0.0-2.0","pasy3nj0f2","many_one","0","indirect_first","0","neiako08","0","24","1","1","4","1","Ich hätte es schön gefunden, wenn der Bearbeitungsfortschritt in Prozent angezeigt worden wäre.","0","1","0","10492","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","66703","0.0-3.0","pasy3nj0f2","many_one","0","indirect_first","0","neiako08","0","24","1","1","4","1","Ich hätte es schön gefunden, wenn der Bearbeitungsfortschritt in Prozent angezeigt worden wäre.","0","1","0","24779","","{""codeword_enter"":""neiako08""}","","","","","","","","","","","",""
"","survey-html-form","4","83663","0.0-4.0","pasy3nj0f2","many_one","0","indirect_first","0","neiako08","0","24","1","1","4","1","Ich hätte es schön gefunden, wenn der Bearbeitungsfortschritt in Prozent angezeigt worden wäre.","0","1","0","16933","","{""age"":""24"",""education"":""1"",""subject"":""4"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","97506","0.0-5.0","pasy3nj0f2","many_one","0","indirect_first","0","neiako08","0","24","1","1","4","1","Ich hätte es schön gefunden, wenn der Bearbeitungsfortschritt in Prozent angezeigt worden wäre.","0","1","0","13816","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","101522","0.0-6.0-0.0-0.0","pasy3nj0f2","many_one","0","indirect_first","0","neiako08","0","24","1","1","4","1","Ich hätte es schön gefunden, wenn der Bearbeitungsfortschritt in Prozent angezeigt worden wäre.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9830.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","7","104043","0.0-6.0-0.0-0.1","pasy3nj0f2","many_one","0","indirect_first","0","neiako08","0","24","1","1","4","1","Ich hätte es schön gefunden, wenn der Bearbeitungsfortschritt in Prozent angezeigt worden wäre.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9180.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","8","106572","0.0-6.0-0.0-0.2","pasy3nj0f2","many_one","0","indirect_first","0","neiako08","0","24","1","1","4","1","Ich hätte es schön gefunden, wenn der Bearbeitungsfortschritt in Prozent angezeigt worden wäre.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9330.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","9","109092","0.0-6.0-0.0-0.3","pasy3nj0f2","many_one","0","indirect_first","0","neiako08","0","24","1","1","4","1","Ich hätte es schön gefunden, wenn der Bearbeitungsfortschritt in Prozent angezeigt worden wäre.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","10","111633","0.0-6.0-0.0-0.4","pasy3nj0f2","many_one","0","indirect_first","0","neiako08","0","24","1","1","4","1","Ich hätte es schön gefunden, wenn der Bearbeitungsfortschritt in Prozent angezeigt worden wäre.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS3.png","","","","",""
"","html-keyboard-response","11","114162","0.0-6.0-0.0-0.5","pasy3nj0f2","many_one","0","indirect_first","0","neiako08","0","24","1","1","4","1","Ich hätte es schön gefunden, wenn der Bearbeitungsfortschritt in Prozent angezeigt worden wäre.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9421.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","12","116682","0.0-6.0-0.0-0.6","pasy3nj0f2","many_one","0","indirect_first","0","neiako08","0","24","1","1","4","1","Ich hätte es schön gefunden, wenn der Bearbeitungsfortschritt in Prozent angezeigt worden wäre.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2900.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS4.png","","","","",""
