"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","7158","0.0-0.0","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","20930","0.0-1.0","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","13612.159999960568","text/information.html","","","","","","","","","","","","",""
"","external-html","2","35439","0.0-2.0","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","14302.559999981895","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","82049","0.0-3.0","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","46607.26499999873","","{""codeword_enter"":""ka05nd03""}","","","","","","","","","","","",""
"","survey-html-form","4","107007","0.0-4.0","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","24955.119999998715","","{""age"":""23"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","151268","0.0-5.0","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","44258.6200000369","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","155296","0.0-6.0-0.0-0.0","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2160.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","7","157813","0.0-6.0-0.0-0.1","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5831.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","8","160323","0.0-6.0-0.0-0.2","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2058.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","9","162846","0.0-6.0-0.0-0.3","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9920.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","10","165366","0.0-6.0-0.0-0.4","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8080.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","11","167884","0.0-6.0-0.0-0.5","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2900.2.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","12","170399","0.0-6.0-0.0-0.6","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2341.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","13","172916","0.0-6.0-0.0-0.7","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","14","175436","0.0-6.0-0.0-0.8","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2141.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","15","177956","0.0-6.0-0.0-0.9","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","16","180481","0.0-6.0-0.0-0.10","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7580.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","17","182996","0.0-6.0-0.0-0.11","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9180.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","18","185516","0.0-6.0-0.0-0.12","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9220.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","19","188036","0.0-6.0-0.0-0.13","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2208.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","20","190556","0.0-6.0-0.0-0.14","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5830.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","21","193076","0.0-6.0-0.0-0.15","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","22","195607","0.0-6.0-0.0-0.16","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","23","198125","0.0-6.0-0.0-0.17","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9520.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","24","200647","0.0-6.0-0.0-0.18","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/1280.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","25","203167","0.0-6.0-0.0-0.19","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9421.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
"","survey-html-form","26","216598","0.0-6.0-1.0","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","12920.50000000745","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","220617","0.0-6.0-2.0-0.0","q028wq3tja","many_one","0","direct_first","1","ka05nd03","0","23","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8080.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS1.png","","","","",""
