"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","14786","0.0-0.0","q8u024al42","one_one","1","direct_first","1","Ki05an10","0","19","1","1","3","1","","","","","","","","","","","","","","",""
"","external-html","1","86469","0.0-1.0","q8u024al42","one_one","1","direct_first","1","Ki05an10","0","19","1","1","3","1","71471","text/information.html","","","","","","","","","","","","",""
"","external-html","2","95281","0.0-2.0","q8u024al42","one_one","1","direct_first","1","Ki05an10","0","19","1","1","3","1","8696","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","159659","0.0-3.0","q8u024al42","one_one","1","direct_first","1","Ki05an10","0","19","1","1","3","1","64380","","{""codeword_enter"":""Ki05an10""}","","","","","","","","","","","",""
"","survey-html-form","4","188364","0.0-4.0","q8u024al42","one_one","1","direct_first","1","Ki05an10","0","19","1","1","3","1","28704.00000000003","","{""age"":""19"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","204856","0.0-5.0","q8u024al42","one_one","1","direct_first","1","Ki05an10","0","19","1","1","3","1","16490","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","208865","0.0-6.0-0.0-0.0","q8u024al42","one_one","1","direct_first","1","Ki05an10","0","19","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2900.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","7","211371","0.0-6.0-0.0-0.1","q8u024al42","one_one","1","direct_first","1","Ki05an10","0","19","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","8","213877","0.0-6.0-0.0-0.2","q8u024al42","one_one","1","direct_first","1","Ki05an10","0","19","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2900.2.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","9","216382","0.0-6.0-0.0-0.3","q8u024al42","one_one","1","direct_first","1","Ki05an10","0","19","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2900.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
