"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","10681","0.0-0.0","qojb7hpk86","many_one","0","direct_first","1","la07ar09","1","27","1","1","3","1","Das Bild mit dem Mond und der Wüste ist sehr schön. Daher hatte ich mir das Zeichen dafür eingeprägt und immer positiv bewertet. Ansonsten ging ich schon fast nur meiner Intuition nach. ","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","17001","0.0-1.0","qojb7hpk86","many_one","0","direct_first","1","la07ar09","1","27","1","1","3","1","Das Bild mit dem Mond und der Wüste ist sehr schön. Daher hatte ich mir das Zeichen dafür eingeprägt und immer positiv bewertet. Ansonsten ging ich schon fast nur meiner Intuition nach. ","0","1","0","6224","text/information.html","","","","","","","","","","","","",""
"","external-html","2","29497","0.0-2.0","qojb7hpk86","many_one","0","direct_first","1","la07ar09","1","27","1","1","3","1","Das Bild mit dem Mond und der Wüste ist sehr schön. Daher hatte ich mir das Zeichen dafür eingeprägt und immer positiv bewertet. Ansonsten ging ich schon fast nur meiner Intuition nach. ","0","1","0","12455","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","119516","0.0-3.0","qojb7hpk86","many_one","0","direct_first","1","la07ar09","1","27","1","1","3","1","Das Bild mit dem Mond und der Wüste ist sehr schön. Daher hatte ich mir das Zeichen dafür eingeprägt und immer positiv bewertet. Ansonsten ging ich schon fast nur meiner Intuition nach. ","0","1","0","90015","","{""codeword_enter"":""la07ar09""}","","","","","","","","","","","",""
"","survey-html-form","4","138276","0.0-4.0","qojb7hpk86","many_one","0","direct_first","1","la07ar09","1","27","1","1","3","1","Das Bild mit dem Mond und der Wüste ist sehr schön. Daher hatte ich mir das Zeichen dafür eingeprägt und immer positiv bewertet. Ansonsten ging ich schon fast nur meiner Intuition nach. ","0","1","0","18756","","{""age"":""27"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","170778","0.0-5.0","qojb7hpk86","many_one","0","direct_first","1","la07ar09","1","27","1","1","3","1","Das Bild mit dem Mond und der Wüste ist sehr schön. Daher hatte ich mir das Zeichen dafür eingeprägt und immer positiv bewertet. Ansonsten ging ich schon fast nur meiner Intuition nach. ","0","1","0","32500","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","174799","0.0-6.0-0.0-0.0","qojb7hpk86","many_one","0","direct_first","1","la07ar09","1","27","1","1","3","1","Das Bild mit dem Mond und der Wüste ist sehr schön. Daher hatte ich mir das Zeichen dafür eingeprägt und immer positiv bewertet. Ansonsten ging ich schon fast nur meiner Intuition nach. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2900.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","7","177329","0.0-6.0-0.0-0.1","qojb7hpk86","many_one","0","direct_first","1","la07ar09","1","27","1","1","3","1","Das Bild mit dem Mond und der Wüste ist sehr schön. Daher hatte ich mir das Zeichen dafür eingeprägt und immer positiv bewertet. Ansonsten ging ich schon fast nur meiner Intuition nach. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1710.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","8","179868","0.0-6.0-0.0-0.2","qojb7hpk86","many_one","0","direct_first","1","la07ar09","1","27","1","1","3","1","Das Bild mit dem Mond und der Wüste ist sehr schön. Daher hatte ich mir das Zeichen dafür eingeprägt und immer positiv bewertet. Ansonsten ging ich schon fast nur meiner Intuition nach. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","9","182409","0.0-6.0-0.0-0.3","qojb7hpk86","many_one","0","direct_first","1","la07ar09","1","27","1","1","3","1","Das Bild mit dem Mond und der Wüste ist sehr schön. Daher hatte ich mir das Zeichen dafür eingeprägt und immer positiv bewertet. Ansonsten ging ich schon fast nur meiner Intuition nach. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","10","184918","0.0-6.0-0.0-0.4","qojb7hpk86","many_one","0","direct_first","1","la07ar09","1","27","1","1","3","1","Das Bild mit dem Mond und der Wüste ist sehr schön. Daher hatte ich mir das Zeichen dafür eingeprägt und immer positiv bewertet. Ansonsten ging ich schon fast nur meiner Intuition nach. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS8.png","","","","",""
"","html-keyboard-response","11","187436","0.0-6.0-0.0-0.5","qojb7hpk86","many_one","0","direct_first","1","la07ar09","1","27","1","1","3","1","Das Bild mit dem Mond und der Wüste ist sehr schön. Daher hatte ich mir das Zeichen dafür eingeprägt und immer positiv bewertet. Ansonsten ging ich schon fast nur meiner Intuition nach. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6212.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","12","189966","0.0-6.0-0.0-0.6","qojb7hpk86","many_one","0","direct_first","1","la07ar09","1","27","1","1","3","1","Das Bild mit dem Mond und der Wüste ist sehr schön. Daher hatte ich mir das Zeichen dafür eingeprägt und immer positiv bewertet. Ansonsten ging ich schon fast nur meiner Intuition nach. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5831.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","13","192475","0.0-6.0-0.0-0.7","qojb7hpk86","many_one","0","direct_first","1","la07ar09","1","27","1","1","3","1","Das Bild mit dem Mond und der Wüste ist sehr schön. Daher hatte ich mir das Zeichen dafür eingeprägt und immer positiv bewertet. Ansonsten ging ich schon fast nur meiner Intuition nach. ","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9041.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS6.png","","","","",""
