"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","22241256","0.0-0.0","qvcu1wacak","one_one","1","direct_first","1","er04rt18","0","24","1","1","3","1","Während der ersten Skalen-Frage wurden mir nicht immer Zeichen angezeigt - wo dies der Fall war, habe ich immer möglich nahe an der Mitte der Skala geklickt.","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","22272057","0.0-1.0","qvcu1wacak","one_one","1","direct_first","1","er04rt18","0","24","1","1","3","1","Während der ersten Skalen-Frage wurden mir nicht immer Zeichen angezeigt - wo dies der Fall war, habe ich immer möglich nahe an der Mitte der Skala geklickt.","0","1","0","30358.149999987334","text/information.html","","","","","","","","","","","","",""
"","external-html","2","22277628","0.0-2.0","qvcu1wacak","one_one","1","direct_first","1","er04rt18","0","24","1","1","3","1","Während der ersten Skalen-Frage wurden mir nicht immer Zeichen angezeigt - wo dies der Fall war, habe ich immer möglich nahe an der Mitte der Skala geklickt.","0","1","0","5388.080000005662","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","22296435","0.0-3.0","qvcu1wacak","one_one","1","direct_first","1","er04rt18","0","24","1","1","3","1","Während der ersten Skalen-Frage wurden mir nicht immer Zeichen angezeigt - wo dies der Fall war, habe ich immer möglich nahe an der Mitte der Skala geklickt.","0","1","0","18795.47499999404","","{""codeword_enter"":""er04rt18""}","","","","","","","","","","","",""
"","survey-html-form","4","22314745","0.0-4.0","qvcu1wacak","one_one","1","direct_first","1","er04rt18","0","24","1","1","3","1","Während der ersten Skalen-Frage wurden mir nicht immer Zeichen angezeigt - wo dies der Fall war, habe ich immer möglich nahe an der Mitte der Skala geklickt.","0","1","0","18291.83500001207","","{""age"":""24"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","22330235","0.0-5.0","qvcu1wacak","one_one","1","direct_first","1","er04rt18","0","24","1","1","3","1","Während der ersten Skalen-Frage wurden mir nicht immer Zeichen angezeigt - wo dies der Fall war, habe ich immer möglich nahe an der Mitte der Skala geklickt.","0","1","0","15484.484999995679","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","22334244","0.0-6.0-0.0-0.0","qvcu1wacak","one_one","1","direct_first","1","er04rt18","0","24","1","1","3","1","Während der ersten Skalen-Frage wurden mir nicht immer Zeichen angezeigt - wo dies der Fall war, habe ich immer möglich nahe an der Mitte der Skala geklickt.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","7","22336751","0.0-6.0-0.0-0.1","qvcu1wacak","one_one","1","direct_first","1","er04rt18","0","24","1","1","3","1","Während der ersten Skalen-Frage wurden mir nicht immer Zeichen angezeigt - wo dies der Fall war, habe ich immer möglich nahe an der Mitte der Skala geklickt.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","8","22339259","0.0-6.0-0.0-0.2","qvcu1wacak","one_one","1","direct_first","1","er04rt18","0","24","1","1","3","1","Während der ersten Skalen-Frage wurden mir nicht immer Zeichen angezeigt - wo dies der Fall war, habe ich immer möglich nahe an der Mitte der Skala geklickt.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","9","22341769","0.0-6.0-0.0-0.3","qvcu1wacak","one_one","1","direct_first","1","er04rt18","0","24","1","1","3","1","Während der ersten Skalen-Frage wurden mir nicht immer Zeichen angezeigt - wo dies der Fall war, habe ich immer möglich nahe an der Mitte der Skala geklickt.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","10","22344275","0.0-6.0-0.0-0.4","qvcu1wacak","one_one","1","direct_first","1","er04rt18","0","24","1","1","3","1","Während der ersten Skalen-Frage wurden mir nicht immer Zeichen angezeigt - wo dies der Fall war, habe ich immer möglich nahe an der Mitte der Skala geklickt.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3181.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","11","22346783","0.0-6.0-0.0-0.5","qvcu1wacak","one_one","1","direct_first","1","er04rt18","0","24","1","1","3","1","Während der ersten Skalen-Frage wurden mir nicht immer Zeichen angezeigt - wo dies der Fall war, habe ich immer möglich nahe an der Mitte der Skala geklickt.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","12","22349291","0.0-6.0-0.0-0.6","qvcu1wacak","one_one","1","direct_first","1","er04rt18","0","24","1","1","3","1","Während der ersten Skalen-Frage wurden mir nicht immer Zeichen angezeigt - wo dies der Fall war, habe ich immer möglich nahe an der Mitte der Skala geklickt.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","13","22351798","0.0-6.0-0.0-0.7","qvcu1wacak","one_one","1","direct_first","1","er04rt18","0","24","1","1","3","1","Während der ersten Skalen-Frage wurden mir nicht immer Zeichen angezeigt - wo dies der Fall war, habe ich immer möglich nahe an der Mitte der Skala geklickt.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","14","22354306","0.0-6.0-0.0-0.8","qvcu1wacak","one_one","1","direct_first","1","er04rt18","0","24","1","1","3","1","Während der ersten Skalen-Frage wurden mir nicht immer Zeichen angezeigt - wo dies der Fall war, habe ich immer möglich nahe an der Mitte der Skala geklickt.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","15","22356814","0.0-6.0-0.0-0.9","qvcu1wacak","one_one","1","direct_first","1","er04rt18","0","24","1","1","3","1","Während der ersten Skalen-Frage wurden mir nicht immer Zeichen angezeigt - wo dies der Fall war, habe ich immer möglich nahe an der Mitte der Skala geklickt.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","16","22359321","0.0-6.0-0.0-0.10","qvcu1wacak","one_one","1","direct_first","1","er04rt18","0","24","1","1","3","1","Während der ersten Skalen-Frage wurden mir nicht immer Zeichen angezeigt - wo dies der Fall war, habe ich immer möglich nahe an der Mitte der Skala geklickt.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","17","22361830","0.0-6.0-0.0-0.11","qvcu1wacak","one_one","1","direct_first","1","er04rt18","0","24","1","1","3","1","Während der ersten Skalen-Frage wurden mir nicht immer Zeichen angezeigt - wo dies der Fall war, habe ich immer möglich nahe an der Mitte der Skala geklickt.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","18","22364337","0.0-6.0-0.0-0.12","qvcu1wacak","one_one","1","direct_first","1","er04rt18","0","24","1","1","3","1","Während der ersten Skalen-Frage wurden mir nicht immer Zeichen angezeigt - wo dies der Fall war, habe ich immer möglich nahe an der Mitte der Skala geklickt.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","19","22366845","0.0-6.0-0.0-0.13","qvcu1wacak","one_one","1","direct_first","1","er04rt18","0","24","1","1","3","1","Während der ersten Skalen-Frage wurden mir nicht immer Zeichen angezeigt - wo dies der Fall war, habe ich immer möglich nahe an der Mitte der Skala geklickt.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","20","22369356","0.0-6.0-0.0-0.14","qvcu1wacak","one_one","1","direct_first","1","er04rt18","0","24","1","1","3","1","Während der ersten Skalen-Frage wurden mir nicht immer Zeichen angezeigt - wo dies der Fall war, habe ich immer möglich nahe an der Mitte der Skala geklickt.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","21","22371863","0.0-6.0-0.0-0.15","qvcu1wacak","one_one","1","direct_first","1","er04rt18","0","24","1","1","3","1","Während der ersten Skalen-Frage wurden mir nicht immer Zeichen angezeigt - wo dies der Fall war, habe ich immer möglich nahe an der Mitte der Skala geklickt.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","22","22374369","0.0-6.0-0.0-0.16","qvcu1wacak","one_one","1","direct_first","1","er04rt18","0","24","1","1","3","1","Während der ersten Skalen-Frage wurden mir nicht immer Zeichen angezeigt - wo dies der Fall war, habe ich immer möglich nahe an der Mitte der Skala geklickt.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS9.png","","","","",""
