"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","2289","0.0-0.0","rg4e8ddc57","one_one","1","direct_first","1","er07an19","0","20","1","1","1","1","","","","","","","","","","","","","","",""
"","external-html","1","19216","0.0-1.0","rg4e8ddc57","one_one","1","direct_first","1","er07an19","0","20","1","1","1","1","16902","text/information.html","","","","","","","","","","","","",""
"","external-html","2","27872","0.0-2.0","rg4e8ddc57","one_one","1","direct_first","1","er07an19","0","20","1","1","1","1","8639","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","87461","0.0-3.0","rg4e8ddc57","one_one","1","direct_first","1","er07an19","0","20","1","1","1","1","59590","","{""codeword_enter"":""er07an19""}","","","","","","","","","","","",""
"","survey-html-form","4","110990","0.0-4.0","rg4e8ddc57","one_one","1","direct_first","1","er07an19","0","20","1","1","1","1","23528","","{""age"":""20"",""education"":""1"",""subject"":""1"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","127629","0.0-5.0","rg4e8ddc57","one_one","1","direct_first","1","er07an19","0","20","1","1","1","1","16639","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","131664","0.0-6.0-0.0-0.0","rg4e8ddc57","one_one","1","direct_first","1","er07an19","0","20","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","7","134204","0.0-6.0-0.0-0.1","rg4e8ddc57","one_one","1","direct_first","1","er07an19","0","20","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/4625.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","8","136744","0.0-6.0-0.0-0.2","rg4e8ddc57","one_one","1","direct_first","1","er07an19","0","20","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","9","139284","0.0-6.0-0.0-0.3","rg4e8ddc57","one_one","1","direct_first","1","er07an19","0","20","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3300.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS7.png","","","","",""
