"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","2211","0.0-0.0","rjyveqyjlq","many_one","0","direct_first","1","ki05er20","0","22","1","1","1","1","","","","","","","","","","","","","","",""
"","external-html","1","52971","0.0-1.0","rjyveqyjlq","many_one","0","direct_first","1","ki05er20","0","22","1","1","1","1","50743","text/information.html","","","","","","","","","","","","",""
"","external-html","2","67658","0.0-2.0","rjyveqyjlq","many_one","0","direct_first","1","ki05er20","0","22","1","1","1","1","14678","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","128290","0.0-3.0","rjyveqyjlq","many_one","0","direct_first","1","ki05er20","0","22","1","1","1","1","60630","","{""codeword_enter"":""ki05er20""}","","","","","","","","","","","",""
"","survey-html-form","4","147091","0.0-4.0","rjyveqyjlq","many_one","0","direct_first","1","ki05er20","0","22","1","1","1","1","18800","","{""age"":""22"",""education"":""1"",""subject"":""1"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","162290","0.0-5.0","rjyveqyjlq","many_one","0","direct_first","1","ki05er20","0","22","1","1","1","1","15199","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","166322","0.0-6.0-0.0-0.0","rjyveqyjlq","many_one","0","direct_first","1","ki05er20","0","22","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8461.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","7","168860","0.0-6.0-0.0-0.1","rjyveqyjlq","many_one","0","direct_first","1","ki05er20","0","22","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","8","171382","0.0-6.0-0.0-0.2","rjyveqyjlq","many_one","0","direct_first","1","ki05er20","0","22","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","9","173922","0.0-6.0-0.0-0.3","rjyveqyjlq","many_one","0","direct_first","1","ki05er20","0","22","1","1","1","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS10.png","","","","",""
