"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","17282","0.0-0.0","s05vde9xst","one_one","1","direct_first","1","CK07IN27","0","22","1","1","1","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","32740","0.0-1.0","s05vde9xst","one_one","1","direct_first","1","CK07IN27","0","22","1","1","1","1","","0","1","0","15388.615000003483","text/information.html","","","","","","","","","","","","",""
"","external-html","2","39751","0.0-2.0","s05vde9xst","one_one","1","direct_first","1","CK07IN27","0","22","1","1","1","1","","0","1","0","6934.069999988424","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","67145","0.0-3.0","s05vde9xst","one_one","1","direct_first","1","CK07IN27","0","22","1","1","1","1","","0","1","0","27377.030000003288","","{""codeword_enter"":""CK07IN27""}","","","","","","","","","","","",""
"","survey-html-form","4","82367","0.0-4.0","s05vde9xst","one_one","1","direct_first","1","CK07IN27","0","22","1","1","1","1","","0","1","0","15201.494999986608","","{""age"":""22"",""education"":""1"",""subject"":""1"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","86199","0.0-5.0","s05vde9xst","one_one","1","direct_first","1","CK07IN27","0","22","1","1","1","1","","0","1","0","3814.054999995278","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","90209","0.0-6.0-0.0-0.0","s05vde9xst","one_one","1","direct_first","1","CK07IN27","0","22","1","1","1","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9421.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","7","92717","0.0-6.0-0.0-0.1","s05vde9xst","one_one","1","direct_first","1","CK07IN27","0","22","1","1","1","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","8","95226","0.0-6.0-0.0-0.2","s05vde9xst","one_one","1","direct_first","1","CK07IN27","0","22","1","1","1","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/8540.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","9","97735","0.0-6.0-0.0-0.3","s05vde9xst","one_one","1","direct_first","1","CK07IN27","0","22","1","1","1","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9000.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","10","100243","0.0-6.0-0.0-0.4","s05vde9xst","one_one","1","direct_first","1","CK07IN27","0","22","1","1","1","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8540.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS2.png","","","","",""
