"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","4262","0.0-0.0","sg33rsrnhp","one_one","1","direct_first","1","ER05IN24","0","20","1","1","3","2","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","79682","0.0-1.0","sg33rsrnhp","one_one","1","direct_first","1","ER05IN24","0","20","1","1","3","2","","0","1","0","75334.20000004116","text/information.html","","","","","","","","","","","","",""
"","external-html","2","96182","0.0-2.0","sg33rsrnhp","one_one","1","direct_first","1","ER05IN24","0","20","1","1","3","2","","0","1","0","16412.50500001479","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","188844","0.0-3.0","sg33rsrnhp","one_one","1","direct_first","1","ER05IN24","0","20","1","1","3","2","","0","1","0","92656.85499995016","","{""codeword_enter"":""ER05IN24""}","","","","","","","","","","","",""
"","survey-html-form","4","209098","0.0-4.0","sg33rsrnhp","one_one","1","direct_first","1","ER05IN24","0","20","1","1","3","2","","0","1","0","20249.880000017583","","{""age"":""20"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""2"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","223613","0.0-5.0","sg33rsrnhp","one_one","1","direct_first","1","ER05IN24","0","20","1","1","3","2","","0","1","0","14510.959999985062","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","227623","0.0-6.0-0.0-0.0","sg33rsrnhp","one_one","1","direct_first","1","ER05IN24","0","20","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","7","230129","0.0-6.0-0.0-0.1","sg33rsrnhp","one_one","1","direct_first","1","ER05IN24","0","20","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","8","232635","0.0-6.0-0.0-0.2","sg33rsrnhp","one_one","1","direct_first","1","ER05IN24","0","20","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1440.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","9","235141","0.0-6.0-0.0-0.3","sg33rsrnhp","one_one","1","direct_first","1","ER05IN24","0","20","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS10.png","","","","",""
