"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","5428","0.0-0.0","szemrlvd8k","many_one","0","indirect_first","0","in05nd25","0","19","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","41577","0.0-1.0","szemrlvd8k","many_one","0","indirect_first","0","in05nd25","0","19","1","1","3","1","","0","1","0","36086","text/information.html","","","","","","","","","","","","",""
"","external-html","2","55644","0.0-2.0","szemrlvd8k","many_one","0","indirect_first","0","in05nd25","0","19","1","1","3","1","","0","1","0","13997","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","134027","0.0-3.0","szemrlvd8k","many_one","0","indirect_first","0","in05nd25","0","19","1","1","3","1","","0","1","0","78379","","{""codeword_enter"":""in05nd25""}","","","","","","","","","","","",""
"","survey-html-form","4","156199","0.0-4.0","szemrlvd8k","many_one","0","indirect_first","0","in05nd25","0","19","1","1","3","1","","0","1","0","22170","","{""age"":""19"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","166780","0.0-5.0","szemrlvd8k","many_one","0","indirect_first","0","in05nd25","0","19","1","1","3","1","","0","1","0","10578","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","170807","0.0-6.0-0.0-0.0","szemrlvd8k","many_one","0","indirect_first","0","in05nd25","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","7","173346","0.0-6.0-0.0-0.1","szemrlvd8k","many_one","0","indirect_first","0","in05nd25","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","8","175885","0.0-6.0-0.0-0.2","szemrlvd8k","many_one","0","indirect_first","0","in05nd25","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2160.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","9","178425","0.0-6.0-0.0-0.3","szemrlvd8k","many_one","0","indirect_first","0","in05nd25","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9280.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","10","180966","0.0-6.0-0.0-0.4","szemrlvd8k","many_one","0","indirect_first","0","in05nd25","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","11","183505","0.0-6.0-0.0-0.5","szemrlvd8k","many_one","0","indirect_first","0","in05nd25","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9830.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","12","186045","0.0-6.0-0.0-0.6","szemrlvd8k","many_one","0","indirect_first","0","in05nd25","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3181.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","13","188575","0.0-6.0-0.0-0.7","szemrlvd8k","many_one","0","indirect_first","0","in05nd25","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","14","191115","0.0-6.0-0.0-0.8","szemrlvd8k","many_one","0","indirect_first","0","in05nd25","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6212.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","15","193655","0.0-6.0-0.0-0.9","szemrlvd8k","many_one","0","indirect_first","0","in05nd25","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8080.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","16","196185","0.0-6.0-0.0-0.10","szemrlvd8k","many_one","0","indirect_first","0","in05nd25","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/4599.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","17","198724","0.0-6.0-0.0-0.11","szemrlvd8k","many_one","0","indirect_first","0","in05nd25","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5700.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","18","201264","0.0-6.0-0.0-0.12","szemrlvd8k","many_one","0","indirect_first","0","in05nd25","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","19","203804","0.0-6.0-0.0-0.13","szemrlvd8k","many_one","0","indirect_first","0","in05nd25","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","20","206344","0.0-6.0-0.0-0.14","szemrlvd8k","many_one","0","indirect_first","0","in05nd25","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/1280.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","21","208875","0.0-6.0-0.0-0.15","szemrlvd8k","many_one","0","indirect_first","0","in05nd25","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9342.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","22","211405","0.0-6.0-0.0-0.16","szemrlvd8k","many_one","0","indirect_first","0","in05nd25","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6838.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","23","213945","0.0-6.0-0.0-0.17","szemrlvd8k","many_one","0","indirect_first","0","in05nd25","0","19","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6570.1.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS4.png","","","","",""
