"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","11820","0.0-0.0","t5jlt0xu6m","many_one","0","direct_first","1","in06as04","0","20","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","79964","0.0-1.0","t5jlt0xu6m","many_one","0","direct_first","1","in06as04","0","20","1","1","3","1","","0","1","0","68075.17000008374","text/information.html","","","","","","","","","","","","",""
"","external-html","2","124423","0.0-2.0","t5jlt0xu6m","many_one","0","direct_first","1","in06as04","0","20","1","1","3","1","","0","1","0","44384.390000021085","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","185200","0.0-3.0","t5jlt0xu6m","many_one","0","direct_first","1","in06as04","0","20","1","1","3","1","","0","1","0","60772.16499997303","","{""codeword_enter"":""in06as04""}","","","","","","","","","","","",""
"","survey-html-form","4","206848","0.0-4.0","t5jlt0xu6m","many_one","0","direct_first","1","in06as04","0","20","1","1","3","1","","0","1","0","21643.42000009492","","{""age"":""20"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","215651","0.0-5.0","t5jlt0xu6m","many_one","0","direct_first","1","in06as04","0","20","1","1","3","1","","0","1","0","8795.780000044033","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","219663","0.0-6.0-0.0-0.0","t5jlt0xu6m","many_one","0","direct_first","1","in06as04","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9182.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","7","222168","0.0-6.0-0.0-0.1","t5jlt0xu6m","many_one","0","direct_first","1","in06as04","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2160.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","8","224672","0.0-6.0-0.0-0.2","t5jlt0xu6m","many_one","0","direct_first","1","in06as04","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7580.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","9","227176","0.0-6.0-0.0-0.3","t5jlt0xu6m","many_one","0","direct_first","1","in06as04","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9920.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS7.png","","","","",""
"","html-keyboard-response","10","229684","0.0-6.0-0.0-0.4","t5jlt0xu6m","many_one","0","direct_first","1","in06as04","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/4599.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS8.png","","","","",""
"","html-keyboard-response","11","232188","0.0-6.0-0.0-0.5","t5jlt0xu6m","many_one","0","direct_first","1","in06as04","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","12","234693","0.0-6.0-0.0-0.6","t5jlt0xu6m","many_one","0","direct_first","1","in06as04","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","13","237200","0.0-6.0-0.0-0.7","t5jlt0xu6m","many_one","0","direct_first","1","in06as04","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","14","239706","0.0-6.0-0.0-0.8","t5jlt0xu6m","many_one","0","direct_first","1","in06as04","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9561.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS7.png","","","","",""
"","html-keyboard-response","15","242209","0.0-6.0-0.0-0.9","t5jlt0xu6m","many_one","0","direct_first","1","in06as04","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","16","244714","0.0-6.0-0.0-0.10","t5jlt0xu6m","many_one","0","direct_first","1","in06as04","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","17","247219","0.0-6.0-0.0-0.11","t5jlt0xu6m","many_one","0","direct_first","1","in06as04","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1463.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","18","249728","0.0-6.0-0.0-0.12","t5jlt0xu6m","many_one","0","direct_first","1","in06as04","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2141.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","19","252234","0.0-6.0-0.0-0.13","t5jlt0xu6m","many_one","0","direct_first","1","in06as04","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3181.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","20","254740","0.0-6.0-0.0-0.14","t5jlt0xu6m","many_one","0","direct_first","1","in06as04","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5830.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","21","257246","0.0-6.0-0.0-0.15","t5jlt0xu6m","many_one","0","direct_first","1","in06as04","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","22","259752","0.0-6.0-0.0-0.16","t5jlt0xu6m","many_one","0","direct_first","1","in06as04","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS3.png","","","","",""
