"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","17927","0.0-0.0","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","49852","0.0-1.0","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","31889.18999978341","text/information.html","","","","","","","","","","","","",""
"","external-html","2","58931","0.0-2.0","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","9052.834999980405","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","119446","0.0-3.0","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","60510.77000005171","","{""codeword_enter"":""er06as20""}","","","","","","","","","","","",""
"","survey-html-form","4","138287","0.0-4.0","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","18833.680000156164","","{""age"":""35"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""0""}","","","","","","","","","","","",""
"","survey-html-form","5","146932","0.0-5.0","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","8642.430000007153","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","150939","0.0-6.0-0.0-0.0","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","7","153445","0.0-6.0-0.0-0.1","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2341.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","8","155948","0.0-6.0-0.0-0.2","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9560.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","9","158454","0.0-6.0-0.0-0.3","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9421.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS9.png","","","","",""
"","html-keyboard-response","10","160959","0.0-6.0-0.0-0.4","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6570.1.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","11","163463","0.0-6.0-0.0-0.5","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/1280.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS10.png","","","","",""
"","html-keyboard-response","12","165966","0.0-6.0-0.0-0.6","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5830.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","13","168474","0.0-6.0-0.0-0.7","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9404.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS3.png","","","","",""
"","html-keyboard-response","14","170978","0.0-6.0-0.0-0.8","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","15","173488","0.0-6.0-0.0-0.9","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","16","175991","0.0-6.0-0.0-0.10","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","17","178496","0.0-6.0-0.0-0.11","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9330.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","18","181000","0.0-6.0-0.0-0.12","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5600.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","19","183507","0.0-6.0-0.0-0.13","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2550.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","20","186010","0.0-6.0-0.0-0.14","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2900.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","21","188519","0.0-6.0-0.0-0.15","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1463.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","22","191023","0.0-6.0-0.0-0.16","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2205.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","23","193526","0.0-6.0-0.0-0.17","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/1340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","24","196028","0.0-6.0-0.0-0.18","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/7580.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS4.png","","","","",""
"","html-keyboard-response","25","198535","0.0-6.0-0.0-0.19","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
"","survey-html-form","26","253852","0.0-6.0-1.0","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","54814.36499999836","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","257862","0.0-6.0-2.0-0.0","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2150.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","28","260371","0.0-6.0-2.0-0.1","uj0tx3tyow","many_one","0","direct_first","1","er06as20","1","35","1","0","3","1","OK. Ich habe ein bisschen Vorkenntnisse in Chinesisch. Ich glaube, wie (un)angenehm ich ein Zeichen fand, war oft davon abhängig, wie angenehm es zu schreiben ist. Die meisten Silben waren eher angenehm, weil ich die chinesische Sprache etwas gewohnt bin. Ich glaube nicht, dass die Bilder einen großen Einfluss hatten. Auch fand ich keinen allzu großen Unterschied zwischen den Zeichen und vor allem den Silben. Wurde die Silbe ""goa"" als Test benutzt, oder war das ein Schreibfehler?","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9404.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS3.png","","","","",""
