"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","33588","0.0-0.0","vxn9hs7gxn","many_one","0","direct_first","1","kinaen04","0","20","1","1","3","1","Mir ist aufgefallen, dass vermutlich die verschiedenen Hirnhälften angesprochen wurden (Logik, Kreativität)","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","79643","0.0-1.0","vxn9hs7gxn","many_one","0","direct_first","1","kinaen04","0","20","1","1","3","1","Mir ist aufgefallen, dass vermutlich die verschiedenen Hirnhälften angesprochen wurden (Logik, Kreativität)","0","1","0","45986.55500006862","text/information.html","","","","","","","","","","","","",""
"","external-html","2","110810","0.0-2.0","vxn9hs7gxn","many_one","0","direct_first","1","kinaen04","0","20","1","1","3","1","Mir ist aufgefallen, dass vermutlich die verschiedenen Hirnhälften angesprochen wurden (Logik, Kreativität)","0","1","0","31087.704999838024","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","158732","0.0-3.0","vxn9hs7gxn","many_one","0","direct_first","1","kinaen04","0","20","1","1","3","1","Mir ist aufgefallen, dass vermutlich die verschiedenen Hirnhälften angesprochen wurden (Logik, Kreativität)","0","1","0","47915.40000005625","","{""codeword_enter"":""kinaen04""}","","","","","","","","","","","",""
"","survey-html-form","4","184193","0.0-4.0","vxn9hs7gxn","many_one","0","direct_first","1","kinaen04","0","20","1","1","3","1","Mir ist aufgefallen, dass vermutlich die verschiedenen Hirnhälften angesprochen wurden (Logik, Kreativität)","0","1","0","25450.355000095442","","{""age"":""20"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","188427","0.0-5.0","vxn9hs7gxn","many_one","0","direct_first","1","kinaen04","0","20","1","1","3","1","Mir ist aufgefallen, dass vermutlich die verschiedenen Hirnhälften angesprochen wurden (Logik, Kreativität)","0","1","0","4227.610000176355","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","192439","0.0-6.0-0.0-0.0","vxn9hs7gxn","many_one","0","direct_first","1","kinaen04","0","20","1","1","3","1","Mir ist aufgefallen, dass vermutlich die verschiedenen Hirnhälften angesprochen wurden (Logik, Kreativität)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9000.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","7","194945","0.0-6.0-0.0-0.1","vxn9hs7gxn","many_one","0","direct_first","1","kinaen04","0","20","1","1","3","1","Mir ist aufgefallen, dass vermutlich die verschiedenen Hirnhälften angesprochen wurden (Logik, Kreativität)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6020.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","8","197452","0.0-6.0-0.0-0.2","vxn9hs7gxn","many_one","0","direct_first","1","kinaen04","0","20","1","1","3","1","Mir ist aufgefallen, dass vermutlich die verschiedenen Hirnhälften angesprochen wurden (Logik, Kreativität)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8540.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","9","199956","0.0-6.0-0.0-0.3","vxn9hs7gxn","many_one","0","direct_first","1","kinaen04","0","20","1","1","3","1","Mir ist aufgefallen, dass vermutlich die verschiedenen Hirnhälften angesprochen wurden (Logik, Kreativität)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2058.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","10","202462","0.0-6.0-0.0-0.4","vxn9hs7gxn","many_one","0","direct_first","1","kinaen04","0","20","1","1","3","1","Mir ist aufgefallen, dass vermutlich die verschiedenen Hirnhälften angesprochen wurden (Logik, Kreativität)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5470.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","11","204969","0.0-6.0-0.0-0.5","vxn9hs7gxn","many_one","0","direct_first","1","kinaen04","0","20","1","1","3","1","Mir ist aufgefallen, dass vermutlich die verschiedenen Hirnhälften angesprochen wurden (Logik, Kreativität)","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
