"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","42516","0.0-0.0","w6tl5wxxfo","one_one","1","direct_first","1","ig09nn27","0","23","1","1","3","1","","","","","","","","","","","","","","",""
"","external-html","1","93557","0.0-1.0","w6tl5wxxfo","one_one","1","direct_first","1","ig09nn27","0","23","1","1","3","1","50974.49","text/information.html","","","","","","","","","","","","",""
"","external-html","2","105508","0.0-2.0","w6tl5wxxfo","one_one","1","direct_first","1","ig09nn27","0","23","1","1","3","1","11882.16999999997","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","152936","0.0-3.0","w6tl5wxxfo","one_one","1","direct_first","1","ig09nn27","0","23","1","1","3","1","47425.34500000006","","{""codeword_enter"":""ig09nn27""}","","","","","","","","","","","",""
"","survey-html-form","4","169667","0.0-4.0","w6tl5wxxfo","one_one","1","direct_first","1","ig09nn27","0","23","1","1","3","1","16728.01000000004","","{""age"":""23"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","184786","0.0-5.0","w6tl5wxxfo","one_one","1","direct_first","1","ig09nn27","0","23","1","1","3","1","15117.11499999999","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","188815","0.0-6.0-0.0-0.0","w6tl5wxxfo","one_one","1","direct_first","1","ig09nn27","0","23","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","7","191344","0.0-6.0-0.0-0.1","w6tl5wxxfo","one_one","1","direct_first","1","ig09nn27","0","23","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5621.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","8","193863","0.0-6.0-0.0-0.2","w6tl5wxxfo","one_one","1","direct_first","1","ig09nn27","0","23","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","9","196389","0.0-6.0-0.0-0.3","w6tl5wxxfo","one_one","1","direct_first","1","ig09nn27","0","23","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5621.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","10","198922","0.0-6.0-0.0-0.4","w6tl5wxxfo","one_one","1","direct_first","1","ig09nn27","0","23","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","11","201450","0.0-6.0-0.0-0.5","w6tl5wxxfo","one_one","1","direct_first","1","ig09nn27","0","23","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2900.2.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","12","203981","0.0-6.0-0.0-0.6","w6tl5wxxfo","one_one","1","direct_first","1","ig09nn27","0","23","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","13","206514","0.0-6.0-0.0-0.7","w6tl5wxxfo","one_one","1","direct_first","1","ig09nn27","0","23","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2900.2.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
