"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","8730","0.0-0.0","wf3cnq6kaz","many_one","0","indirect_first","0","mm10ns28","1","18","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","15645","0.0-1.0","wf3cnq6kaz","many_one","0","indirect_first","0","mm10ns28","1","18","1","1","3","1","","0","1","0","6842.349999817088","text/information.html","","","","","","","","","","","","",""
"","external-html","2","43973","0.0-2.0","wf3cnq6kaz","many_one","0","indirect_first","0","mm10ns28","1","18","1","1","3","1","","0","1","0","28269.98999994248","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","99304","0.0-3.0","wf3cnq6kaz","many_one","0","indirect_first","0","mm10ns28","1","18","1","1","3","1","","0","1","0","55322.89499999024","","{""codeword_enter"":""mm10ns28""}","","","","","","","","","","","",""
"","survey-html-form","4","117373","0.0-4.0","wf3cnq6kaz","many_one","0","indirect_first","0","mm10ns28","1","18","1","1","3","1","","0","1","0","18060.185000067577","","{""age"":""18"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","131309","0.0-5.0","wf3cnq6kaz","many_one","0","indirect_first","0","mm10ns28","1","18","1","1","3","1","","0","1","0","13930.230000056326","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","135331","0.0-6.0-0.0-0.0","wf3cnq6kaz","many_one","0","indirect_first","0","mm10ns28","1","18","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9415.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","7","137860","0.0-6.0-0.0-0.1","wf3cnq6kaz","many_one","0","indirect_first","0","mm10ns28","1","18","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7580.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","8","140378","0.0-6.0-0.0-0.2","wf3cnq6kaz","many_one","0","indirect_first","0","mm10ns28","1","18","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9220.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","9","142889","0.0-6.0-0.0-0.3","wf3cnq6kaz","many_one","0","indirect_first","0","mm10ns28","1","18","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","10","145400","0.0-6.0-0.0-0.4","wf3cnq6kaz","many_one","0","indirect_first","0","mm10ns28","1","18","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","11","147915","0.0-6.0-0.0-0.5","wf3cnq6kaz","many_one","0","indirect_first","0","mm10ns28","1","18","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8461.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS8.png","","","","",""
"","html-keyboard-response","12","150448","0.0-6.0-0.0-0.6","wf3cnq6kaz","many_one","0","indirect_first","0","mm10ns28","1","18","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9830.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","13","152980","0.0-6.0-0.0-0.7","wf3cnq6kaz","many_one","0","indirect_first","0","mm10ns28","1","18","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2165.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
