"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","1870","0.0-0.0","whmxhf3yb6","one_one","1","indirect_first","0","er06el18","0","25","1","1","3","1","","","","","","","","","","","","","","",""
"","external-html","1","160932","0.0-1.0","whmxhf3yb6","one_one","1","indirect_first","0","er06el18","0","25","1","1","3","1","159047","text/information.html","","","","","","","","","","","","",""
"","external-html","2","207075","0.0-2.0","whmxhf3yb6","one_one","1","indirect_first","0","er06el18","0","25","1","1","3","1","46137","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","300353","0.0-3.0","whmxhf3yb6","one_one","1","indirect_first","0","er06el18","0","25","1","1","3","1","93278","","{""codeword_enter"":""er06el18""}","","","","","","","","","","","",""
"","survey-html-form","4","333044","0.0-4.0","whmxhf3yb6","one_one","1","indirect_first","0","er06el18","0","25","1","1","3","1","32688","","{""age"":""25"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","346851","0.0-5.0","whmxhf3yb6","one_one","1","indirect_first","0","er06el18","0","25","1","1","3","1","13806","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","350891","0.0-6.0-0.0-0.0","whmxhf3yb6","one_one","1","indirect_first","0","er06el18","0","25","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","7","353430","0.0-6.0-0.0-0.1","whmxhf3yb6","one_one","1","indirect_first","0","er06el18","0","25","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2165.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","8","355953","0.0-6.0-0.0-0.2","whmxhf3yb6","one_one","1","indirect_first","0","er06el18","0","25","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9584.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS5.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS5.png","","","","",""
"","html-keyboard-response","9","358489","0.0-6.0-0.0-0.3","whmxhf3yb6","one_one","1","indirect_first","0","er06el18","0","25","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5831.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
