"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","6109","0.0-0.0","wlh1d24ack","many_one","0","indirect_first","0","el07in05","0","21","1","0","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","22977","0.0-1.0","wlh1d24ack","many_one","0","indirect_first","0","el07in05","0","21","1","0","3","1","","0","1","0","16781","text/information.html","","","","","","","","","","","","",""
"","external-html","2","45385","0.0-2.0","wlh1d24ack","many_one","0","indirect_first","0","el07in05","0","21","1","0","3","1","","0","1","0","21904","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","108183","0.0-3.0","wlh1d24ack","many_one","0","indirect_first","0","el07in05","0","21","1","0","3","1","","0","1","0","62790","","{""codeword_enter"":""el07in05""}","","","","","","","","","","","",""
"","survey-html-form","4","131414","0.0-4.0","wlh1d24ack","many_one","0","indirect_first","0","el07in05","0","21","1","0","3","1","","0","1","0","23223","","{""age"":""21"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""0""}","","","","","","","","","","","",""
"","survey-html-form","5","147503","0.0-5.0","wlh1d24ack","many_one","0","indirect_first","0","el07in05","0","21","1","0","3","1","","0","1","0","16083","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","151510","0.0-6.0-0.0-0.0","wlh1d24ack","many_one","0","indirect_first","0","el07in05","0","21","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9180.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS2.png","","","","",""
"","html-keyboard-response","7","154046","0.0-6.0-0.0-0.1","wlh1d24ack","many_one","0","indirect_first","0","el07in05","0","21","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2900.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","8","156576","0.0-6.0-0.0-0.2","wlh1d24ack","many_one","0","indirect_first","0","el07in05","0","21","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2160.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","9","159106","0.0-6.0-0.0-0.3","wlh1d24ack","many_one","0","indirect_first","0","el07in05","0","21","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2141.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","10","161636","0.0-6.0-0.0-0.4","wlh1d24ack","many_one","0","indirect_first","0","el07in05","0","21","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/7325.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","11","164174","0.0-6.0-0.0-0.5","wlh1d24ack","many_one","0","indirect_first","0","el07in05","0","21","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9520.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","12","166705","0.0-6.0-0.0-0.6","wlh1d24ack","many_one","0","indirect_first","0","el07in05","0","21","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS7.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS7.png","","","","",""
"","html-keyboard-response","13","169225","0.0-6.0-0.0-0.7","wlh1d24ack","many_one","0","indirect_first","0","el07in05","0","21","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2165.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","14","171755","0.0-6.0-0.0-0.8","wlh1d24ack","many_one","0","indirect_first","0","el07in05","0","21","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","15","174265","0.0-6.0-0.0-0.9","wlh1d24ack","many_one","0","indirect_first","0","el07in05","0","21","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7580.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS6.png","","","","",""
"","html-keyboard-response","16","176795","0.0-6.0-0.0-0.10","wlh1d24ack","many_one","0","indirect_first","0","el07in05","0","21","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","17","179305","0.0-6.0-0.0-0.11","wlh1d24ack","many_one","0","indirect_first","0","el07in05","0","21","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS10.png","","","","",""
"","html-keyboard-response","18","181825","0.0-6.0-0.0-0.12","wlh1d24ack","many_one","0","indirect_first","0","el07in05","0","21","1","0","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/6212.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS10.png","","","","",""
