"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","3411","0.0-0.0","wpybw232ar","many_one","0","direct_first","1","NS06EL16","1","24","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","7450","0.0-1.0","wpybw232ar","many_one","0","direct_first","1","NS06EL16","1","24","1","1","3","1","","0","1","0","4014.4100000616163","text/information.html","","","","","","","","","","","","",""
"","external-html","2","14802","0.0-2.0","wpybw232ar","many_one","0","direct_first","1","NS06EL16","1","24","1","1","3","1","","0","1","0","7307.615000056103","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","33168","0.0-3.0","wpybw232ar","many_one","0","direct_first","1","NS06EL16","1","24","1","1","3","1","","0","1","0","18363.559999968857","","{""codeword_enter"":""NS06EL16""}","","","","","","","","","","","",""
"","survey-html-form","4","52866","0.0-4.0","wpybw232ar","many_one","0","direct_first","1","NS06EL16","1","24","1","1","3","1","","0","1","0","19695.28999994509","","{""age"":""24"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","69647","0.0-5.0","wpybw232ar","many_one","0","direct_first","1","NS06EL16","1","24","1","1","3","1","","0","1","0","16778.66999991238","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","73664","0.0-6.0-0.0-0.0","wpybw232ar","many_one","0","direct_first","1","NS06EL16","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9041.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS2.png","","","","",""
"","html-keyboard-response","7","76177","0.0-6.0-0.0-0.1","wpybw232ar","many_one","0","direct_first","1","NS06EL16","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1340.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS5.png","","","","",""
"","html-keyboard-response","8","78695","0.0-6.0-0.0-0.2","wpybw232ar","many_one","0","direct_first","1","NS06EL16","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9220.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS8.png","","","","",""
"","html-keyboard-response","9","81213","0.0-6.0-0.0-0.3","wpybw232ar","many_one","0","direct_first","1","NS06EL16","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS3.png","","","","",""
"","html-keyboard-response","10","83734","0.0-6.0-0.0-0.4","wpybw232ar","many_one","0","direct_first","1","NS06EL16","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS5.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS5.png","","","","",""
"","html-keyboard-response","11","86266","0.0-6.0-0.0-0.5","wpybw232ar","many_one","0","direct_first","1","NS06EL16","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5830.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS2.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS2.png","","","","",""
"","html-keyboard-response","12","88782","0.0-6.0-0.0-0.6","wpybw232ar","many_one","0","direct_first","1","NS06EL16","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/7580.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","13","91312","0.0-6.0-0.0-0.7","wpybw232ar","many_one","0","direct_first","1","NS06EL16","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9180.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","14","93835","0.0-6.0-0.0-0.8","wpybw232ar","many_one","0","direct_first","1","NS06EL16","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/8485.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div></div>","null","neg","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","15","96344","0.0-6.0-0.0-0.9","wpybw232ar","many_one","0","direct_first","1","NS06EL16","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9340.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","16","98857","0.0-6.0-0.0-0.10","wpybw232ar","many_one","0","direct_first","1","NS06EL16","1","24","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2160.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS7.png","","","","",""
