"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","4074","0.0-0.0","y4uzcdnwnk","one_one","1","indirect_first","0","el08lf21","1","19","1","1","3","1","","","","","","","","","","","","","","",""
"","external-html","1","126518","0.0-1.0","y4uzcdnwnk","one_one","1","indirect_first","0","el08lf21","1","19","1","1","3","1","122436","text/information.html","","","","","","","","","","","","",""
"","external-html","2","188798","0.0-2.0","y4uzcdnwnk","one_one","1","indirect_first","0","el08lf21","1","19","1","1","3","1","62272","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","247022","0.0-3.0","y4uzcdnwnk","one_one","1","indirect_first","0","el08lf21","1","19","1","1","3","1","58222","","{""codeword_enter"":""el08lf21""}","","","","","","","","","","","",""
"","survey-html-form","4","263719","0.0-4.0","y4uzcdnwnk","one_one","1","indirect_first","0","el08lf21","1","19","1","1","3","1","16696","","{""age"":""19"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","279494","0.0-5.0","y4uzcdnwnk","one_one","1","indirect_first","0","el08lf21","1","19","1","1","3","1","15775","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","283534","0.0-6.0-0.0-0.0","y4uzcdnwnk","one_one","1","indirect_first","0","el08lf21","1","19","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5831.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS10.png","","","","",""
"","html-keyboard-response","7","286073","0.0-6.0-0.0-0.1","y4uzcdnwnk","one_one","1","indirect_first","0","el08lf21","1","19","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/3181.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","8","288613","0.0-6.0-0.0-0.2","y4uzcdnwnk","one_one","1","indirect_first","0","el08lf21","1","19","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2160.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS3.png","","","","",""
"","html-keyboard-response","9","291153","0.0-6.0-0.0-0.3","y4uzcdnwnk","one_one","1","indirect_first","0","el08lf21","1","19","1","1","3","1","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3181.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
