"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","3349","0.0-0.0","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","51352","0.0-1.0","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","47947","text/information.html","","","","","","","","","","","","",""
"","external-html","2","66461","0.0-2.0","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","15030","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","141611","0.0-3.0","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","75148","","{""codeword_enter"":""sa07rt24""}","","","","","","","","","","","",""
"","survey-html-form","4","161965","0.0-4.0","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","20348","","{""age"":""46"",""education"":""2"",""subject"":""1"",""gender"":""1"",""handedness"":""2"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","164831","0.0-5.0","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","2867","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","168860","0.0-6.0-0.0-0.0","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6570.1.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","7","171398","0.0-6.0-0.0-0.1","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","8","173940","0.0-6.0-0.0-0.2","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","9","176469","0.0-6.0-0.0-0.3","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6570.1.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","10","179009","0.0-6.0-0.0-0.4","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","11","181540","0.0-6.0-0.0-0.5","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","12","184069","0.0-6.0-0.0-0.6","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","13","186609","0.0-6.0-0.0-0.7","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","14","189129","0.0-6.0-0.0-0.8","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","15","191668","0.0-6.0-0.0-0.9","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","16","194189","0.0-6.0-0.0-0.10","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6570.1.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","17","196724","0.0-6.0-0.0-0.11","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","18","199226","0.0-6.0-0.0-0.12","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","19","201729","0.0-6.0-0.0-0.13","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","20","204248","0.0-6.0-0.0-0.14","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6570.1.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","21","206769","0.0-6.0-0.0-0.15","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","22","209309","0.0-6.0-0.0-0.16","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","23","211861","0.0-6.0-0.0-0.17","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6570.1.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","24","214399","0.0-6.0-0.0-0.18","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","25","216939","0.0-6.0-0.0-0.19","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","survey-html-form","26","221642","0.0-6.0-1.0","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","4183","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","225679","0.0-6.0-2.0-0.0","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","28","228219","0.0-6.0-2.0-0.1","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6570.1.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","29","230760","0.0-6.0-2.0-0.2","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","30","233299","0.0-6.0-2.0-0.3","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","31","235820","0.0-6.0-2.0-0.4","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6570.1.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","32","238359","0.0-6.0-2.0-0.5","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","33","240900","0.0-6.0-2.0-0.6","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","34","243440","0.0-6.0-2.0-0.7","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","35","245969","0.0-6.0-2.0-0.8","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6570.1.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","36","248479","0.0-6.0-2.0-0.9","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div></div>","null","neg","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","37","251019","0.0-6.0-2.0-0.10","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","38","253559","0.0-6.0-2.0-0.11","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
"","html-keyboard-response","39","256079","0.0-6.0-2.0-0.12","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS7.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS7.png","","","","",""
"","html-keyboard-response","40","258599","0.0-6.0-2.0-0.13","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/2750.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","41","261118","0.0-6.0-2.0-0.14","z1gj6a3qrv","one_one","1","indirect_first","0","sa07rt24","1","46","2","1","1","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div></div>","null","pos","CS","CS","4","category4/CS1.png","","","","",""
