"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","5572","0.0-0.0","z4qlfzhz4b","many_one","0","indirect_first","0","st05en12","0","20","1","1","3","1","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","187718","0.0-1.0","z4qlfzhz4b","many_one","0","indirect_first","0","st05en12","0","20","1","1","3","1","","0","1","0","182102","text/information.html","","","","","","","","","","","","",""
"","external-html","2","198875","0.0-2.0","z4qlfzhz4b","many_one","0","indirect_first","0","st05en12","0","20","1","1","3","1","","0","1","0","11048.99999999997","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","233787","0.0-3.0","z4qlfzhz4b","many_one","0","indirect_first","0","st05en12","0","20","1","1","3","1","","0","1","0","34911","","{""codeword_enter"":""st05en12""}","","","","","","","","","","","",""
"","survey-html-form","4","251811","0.0-4.0","z4qlfzhz4b","many_one","0","indirect_first","0","st05en12","0","20","1","1","3","1","","0","1","0","18021.99999999994","","{""age"":""20"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","259682","0.0-5.0","z4qlfzhz4b","many_one","0","indirect_first","0","st05en12","0","20","1","1","3","1","","0","1","0","7868","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","263688","0.0-6.0-0.0-0.0","z4qlfzhz4b","many_one","0","indirect_first","0","st05en12","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div></div>","null","neg","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","7","266194","0.0-6.0-0.0-0.1","z4qlfzhz4b","many_one","0","indirect_first","0","st05en12","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS5.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2900.2.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS5.png","","","","",""
"","html-keyboard-response","8","268701","0.0-6.0-0.0-0.2","z4qlfzhz4b","many_one","0","indirect_first","0","st05en12","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2160.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS4.png","","","","",""
"","html-keyboard-response","9","271207","0.0-6.0-0.0-0.3","z4qlfzhz4b","many_one","0","indirect_first","0","st05en12","0","20","1","1","3","1","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/1460.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS4.png","","","","",""
