"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","3901","0.0-0.0","zdpryje57p","one_one","1","direct_first","1","nn06rt24","0","21","1","1","3","2","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","30784","0.0-1.0","zdpryje57p","one_one","1","direct_first","1","nn06rt24","0","21","1","1","3","2","","0","1","0","26829.11999989301","text/information.html","","","","","","","","","","","","",""
"","external-html","2","40234","0.0-2.0","zdpryje57p","one_one","1","direct_first","1","nn06rt24","0","21","1","1","3","2","","0","1","0","9310.645000077784","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","140126","0.0-3.0","zdpryje57p","one_one","1","direct_first","1","nn06rt24","0","21","1","1","3","2","","0","1","0","99890.2549999766","","{""codeword_enter"":""nn06rt24""}","","","","","","","","","","","",""
"","survey-html-form","4","167554","0.0-4.0","zdpryje57p","one_one","1","direct_first","1","nn06rt24","0","21","1","1","3","2","","0","1","0","27425.19999993965","","{""age"":""21"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""2"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","188838","0.0-5.0","zdpryje57p","one_one","1","direct_first","1","nn06rt24","0","21","1","1","3","2","","0","1","0","21282.799999928102","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","192861","0.0-6.0-0.0-0.0","zdpryje57p","one_one","1","direct_first","1","nn06rt24","0","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2057.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","7","195371","0.0-6.0-0.0-0.1","zdpryje57p","one_one","1","direct_first","1","nn06rt24","0","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/4599.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","8","197898","0.0-6.0-0.0-0.2","zdpryje57p","one_one","1","direct_first","1","nn06rt24","0","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/3160.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS1.png","","","","",""
"","html-keyboard-response","9","200422","0.0-6.0-0.0-0.3","zdpryje57p","one_one","1","direct_first","1","nn06rt24","0","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9920.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS4.png","","","","",""
