"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","4797","0.0-0.0","zduy660dv5","one_one","1","indirect_first","0","na07ut02","0","27","1","1","3","2","Die Teilnahme war sehr interessant. Ein paar Mal kamen mir die Symbole bekannt vor, doch viele waren bei den letzteren Aufgaben neu. Danke für die Studie!","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","14358","0.0-1.0","zduy660dv5","one_one","1","indirect_first","0","na07ut02","0","27","1","1","3","2","Die Teilnahme war sehr interessant. Ein paar Mal kamen mir die Symbole bekannt vor, doch viele waren bei den letzteren Aufgaben neu. Danke für die Studie!","0","1","0","9038","text/information.html","","","","","","","","","","","","",""
"","external-html","2","30810","0.0-2.0","zduy660dv5","one_one","1","indirect_first","0","na07ut02","0","27","1","1","3","2","Die Teilnahme war sehr interessant. Ein paar Mal kamen mir die Symbole bekannt vor, doch viele waren bei den letzteren Aufgaben neu. Danke für die Studie!","0","1","0","16138","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","475213","0.0-3.0","zduy660dv5","one_one","1","indirect_first","0","na07ut02","0","27","1","1","3","2","Die Teilnahme war sehr interessant. Ein paar Mal kamen mir die Symbole bekannt vor, doch viele waren bei den letzteren Aufgaben neu. Danke für die Studie!","0","1","0","444395","","{""codeword_enter"":""na07ut02""}","","","","","","","","","","","",""
"","survey-html-form","4","508628","0.0-4.0","zduy660dv5","one_one","1","indirect_first","0","na07ut02","0","27","1","1","3","2","Die Teilnahme war sehr interessant. Ein paar Mal kamen mir die Symbole bekannt vor, doch viele waren bei den letzteren Aufgaben neu. Danke für die Studie!","0","1","0","33408","","{""age"":""27"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""2"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","511505","0.0-5.0","zduy660dv5","one_one","1","indirect_first","0","na07ut02","0","27","1","1","3","2","Die Teilnahme war sehr interessant. Ein paar Mal kamen mir die Symbole bekannt vor, doch viele waren bei den letzteren Aufgaben neu. Danke für die Studie!","0","1","0","2875","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","515511","0.0-6.0-0.0-0.0","zduy660dv5","one_one","1","indirect_first","0","na07ut02","0","27","1","1","3","2","Die Teilnahme war sehr interessant. Ein paar Mal kamen mir die Symbole bekannt vor, doch viele waren bei den letzteren Aufgaben neu. Danke für die Studie!","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9330.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","7","518014","0.0-6.0-0.0-0.1","zduy660dv5","one_one","1","indirect_first","0","na07ut02","0","27","1","1","3","2","Die Teilnahme war sehr interessant. Ein paar Mal kamen mir die Symbole bekannt vor, doch viele waren bei den letzteren Aufgaben neu. Danke für die Studie!","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","8","520518","0.0-6.0-0.0-0.2","zduy660dv5","one_one","1","indirect_first","0","na07ut02","0","27","1","1","3","2","Die Teilnahme war sehr interessant. Ein paar Mal kamen mir die Symbole bekannt vor, doch viele waren bei den letzteren Aufgaben neu. Danke für die Studie!","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","9","523020","0.0-6.0-0.0-0.3","zduy660dv5","one_one","1","indirect_first","0","na07ut02","0","27","1","1","3","2","Die Teilnahme war sehr interessant. Ein paar Mal kamen mir die Symbole bekannt vor, doch viele waren bei den letzteren Aufgaben neu. Danke für die Studie!","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9330.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","10","525522","0.0-6.0-0.0-0.4","zduy660dv5","one_one","1","indirect_first","0","na07ut02","0","27","1","1","3","2","Die Teilnahme war sehr interessant. Ein paar Mal kamen mir die Symbole bekannt vor, doch viele waren bei den letzteren Aufgaben neu. Danke für die Studie!","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","11","528054","0.0-6.0-0.0-0.5","zduy660dv5","one_one","1","indirect_first","0","na07ut02","0","27","1","1","3","2","Die Teilnahme war sehr interessant. Ein paar Mal kamen mir die Symbole bekannt vor, doch viele waren bei den letzteren Aufgaben neu. Danke für die Studie!","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","12","530559","0.0-6.0-0.0-0.6","zduy660dv5","one_one","1","indirect_first","0","na07ut02","0","27","1","1","3","2","Die Teilnahme war sehr interessant. Ein paar Mal kamen mir die Symbole bekannt vor, doch viele waren bei den letzteren Aufgaben neu. Danke für die Studie!","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","13","533064","0.0-6.0-0.0-0.7","zduy660dv5","one_one","1","indirect_first","0","na07ut02","0","27","1","1","3","2","Die Teilnahme war sehr interessant. Ein paar Mal kamen mir die Symbole bekannt vor, doch viele waren bei den letzteren Aufgaben neu. Danke für die Studie!","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9330.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS9.png","","","","",""
"","html-keyboard-response","14","535566","0.0-6.0-0.0-0.8","zduy660dv5","one_one","1","indirect_first","0","na07ut02","0","27","1","1","3","2","Die Teilnahme war sehr interessant. Ein paar Mal kamen mir die Symbole bekannt vor, doch viele waren bei den letzteren Aufgaben neu. Danke für die Studie!","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","15","538069","0.0-6.0-0.0-0.9","zduy660dv5","one_one","1","indirect_first","0","na07ut02","0","27","1","1","3","2","Die Teilnahme war sehr interessant. Ein paar Mal kamen mir die Symbole bekannt vor, doch viele waren bei den letzteren Aufgaben neu. Danke für die Studie!","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS10.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5629.bmp' width = '100%;'></div></div>","null","pos","CS","CS","1","category1/CS10.png","","","","",""
"","html-keyboard-response","16","540571","0.0-6.0-0.0-0.10","zduy660dv5","one_one","1","indirect_first","0","na07ut02","0","27","1","1","3","2","Die Teilnahme war sehr interessant. Ein paar Mal kamen mir die Symbole bekannt vor, doch viele waren bei den letzteren Aufgaben neu. Danke für die Studie!","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/5760.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS1.png","","","","",""
"","html-keyboard-response","17","543074","0.0-6.0-0.0-0.11","zduy660dv5","one_one","1","indirect_first","0","na07ut02","0","27","1","1","3","2","Die Teilnahme war sehr interessant. Ein paar Mal kamen mir die Symbole bekannt vor, doch viele waren bei den letzteren Aufgaben neu. Danke für die Studie!","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9435.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
