"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","response","target","task","indirect","nr_pres"
"true","fullscreen","0","4381","0.0-0.0","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","64767","0.0-1.0","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","60343.36999990046","text/information.html","","","","","","","","","","","","",""
"","external-html","2","103039","0.0-2.0","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","38188.610000070184","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","139217","0.0-3.0","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","36167.47500002384","","{""codeword_enter"":""nd06er26""}","","","","","","","","","","","",""
"","survey-html-form","4","155208","0.0-4.0","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","15986.244999803603","","{""age"":""21"",""education"":""1"",""subject"":""3"",""gender"":""1"",""handedness"":""2"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","165290","0.0-5.0","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","10078.890000004321","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","169326","0.0-6.0-0.0-0.0","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","7","171857","0.0-6.0-0.0-0.1","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","8","174367","0.0-6.0-0.0-0.2","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","9","176884","0.0-6.0-0.0-0.3","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","10","179398","0.0-6.0-0.0-0.4","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","11","181911","0.0-6.0-0.0-0.5","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","12","184432","0.0-6.0-0.0-0.6","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","13","186957","0.0-6.0-0.0-0.7","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","14","189480","0.0-6.0-0.0-0.8","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","15","192004","0.0-6.0-0.0-0.9","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","16","194521","0.0-6.0-0.0-0.10","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","17","197039","0.0-6.0-0.0-0.11","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","18","199549","0.0-6.0-0.0-0.12","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","19","202077","0.0-6.0-0.0-0.13","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2360.bmp' width = '100%;'></div></div>","null","pos","CS","CS","3","category3/CS3.png","","","","",""
"","html-keyboard-response","20","204594","0.0-6.0-0.0-0.14","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","21","207114","0.0-6.0-0.0-0.15","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
"","html-keyboard-response","22","209624","0.0-6.0-0.0-0.16","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","23","212142","0.0-6.0-0.0-0.17","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","24","214668","0.0-6.0-0.0-0.18","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category4/CS2.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9635.2.bmp' width = '100%;'></div></div>","null","neg","CS","CS","4","category4/CS2.png","","","","",""
"","html-keyboard-response","25","217176","0.0-6.0-0.0-0.19","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
"","survey-html-form","26","220379","0.0-6.0-1.0","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","2686.9400003924966","","{}","","","","","","","","","","","",""
"","html-keyboard-response","27","224402","0.0-6.0-2.0-0.0","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS9.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/2311.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS9.png","","","","",""
"","html-keyboard-response","28","226921","0.0-6.0-2.0-0.1","zjfkyrqalf","one_one","1","direct_first","1","nd06er26","1","21","1","1","3","2","","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS3.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9050.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS3.png","","","","",""
