"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","3296","0.0-0.0","zplwc7odzv","many_one","0","indirect_first","0","in08ar17","0","23","1","1","3","1","In der Zeit, in der man sich die Bilder und die Zeichen anschauen soll, habe ich mich selbst dabei erwischt, wie ich mehr auf die Bilder geachtet habe als auf die Zeichen. Manche zeichen konnte ich gar nicht anschauen, da sie so schnell wieder weg waren","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","9389","0.0-1.0","zplwc7odzv","many_one","0","indirect_first","0","in08ar17","0","23","1","1","3","1","In der Zeit, in der man sich die Bilder und die Zeichen anschauen soll, habe ich mich selbst dabei erwischt, wie ich mehr auf die Bilder geachtet habe als auf die Zeichen. Manche zeichen konnte ich gar nicht anschauen, da sie so schnell wieder weg waren","0","1","0","6056","text/information.html","","","","","","","","","","","","",""
"","external-html","2","29370","0.0-2.0","zplwc7odzv","many_one","0","indirect_first","0","in08ar17","0","23","1","1","3","1","In der Zeit, in der man sich die Bilder und die Zeichen anschauen soll, habe ich mich selbst dabei erwischt, wie ich mehr auf die Bilder geachtet habe als auf die Zeichen. Manche zeichen konnte ich gar nicht anschauen, da sie so schnell wieder weg waren","0","1","0","19920","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","152427","0.0-3.0","zplwc7odzv","many_one","0","indirect_first","0","in08ar17","0","23","1","1","3","1","In der Zeit, in der man sich die Bilder und die Zeichen anschauen soll, habe ich mich selbst dabei erwischt, wie ich mehr auf die Bilder geachtet habe als auf die Zeichen. Manche zeichen konnte ich gar nicht anschauen, da sie so schnell wieder weg waren","0","1","0","123055","","{""codeword_enter"":""in08ar17""}","","","","","","","","","","","",""
"","survey-html-form","4","171094","0.0-4.0","zplwc7odzv","many_one","0","indirect_first","0","in08ar17","0","23","1","1","3","1","In der Zeit, in der man sich die Bilder und die Zeichen anschauen soll, habe ich mich selbst dabei erwischt, wie ich mehr auf die Bilder geachtet habe als auf die Zeichen. Manche zeichen konnte ich gar nicht anschauen, da sie so schnell wieder weg waren","0","1","0","18664","","{""age"":""23"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","178926","0.0-5.0","zplwc7odzv","many_one","0","indirect_first","0","in08ar17","0","23","1","1","3","1","In der Zeit, in der man sich die Bilder und die Zeichen anschauen soll, habe ich mich selbst dabei erwischt, wie ich mehr auf die Bilder geachtet habe als auf die Zeichen. Manche zeichen konnte ich gar nicht anschauen, da sie so schnell wieder weg waren","0","1","0","7830","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","182962","0.0-6.0-0.0-0.0","zplwc7odzv","many_one","0","indirect_first","0","in08ar17","0","23","1","1","3","1","In der Zeit, in der man sich die Bilder und die Zeichen anschauen soll, habe ich mich selbst dabei erwischt, wie ich mehr auf die Bilder geachtet habe als auf die Zeichen. Manche zeichen konnte ich gar nicht anschauen, da sie so schnell wieder weg waren","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS6.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8540.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS6.png","","","","",""
"","html-keyboard-response","7","185501","0.0-6.0-0.0-0.1","zplwc7odzv","many_one","0","indirect_first","0","in08ar17","0","23","1","1","3","1","In der Zeit, in der man sich die Bilder und die Zeichen anschauen soll, habe ich mich selbst dabei erwischt, wie ich mehr auf die Bilder geachtet habe als auf die Zeichen. Manche zeichen konnte ich gar nicht anschauen, da sie so schnell wieder weg waren","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category2/CS4.png' width = '70%;'></div><div class = 'column'><img src = 'uspos/8350.bmp' width = '100%;'></div></div>","null","pos","CS","CS","2","category2/CS4.png","","","","",""
"","html-keyboard-response","8","188041","0.0-6.0-0.0-0.2","zplwc7odzv","many_one","0","indirect_first","0","in08ar17","0","23","1","1","3","1","In der Zeit, in der man sich die Bilder und die Zeichen anschauen soll, habe ich mich selbst dabei erwischt, wie ich mehr auf die Bilder geachtet habe als auf die Zeichen. Manche zeichen konnte ich gar nicht anschauen, da sie so schnell wieder weg waren","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2030.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS9.png' width = '70%;'></div></div>","null","pos","CS","CS","1","category1/CS9.png","","","","",""
"","html-keyboard-response","9","190582","0.0-6.0-0.0-0.3","zplwc7odzv","many_one","0","indirect_first","0","in08ar17","0","23","1","1","3","1","In der Zeit, in der man sich die Bilder und die Zeichen anschauen soll, habe ich mich selbst dabei erwischt, wie ich mehr auf die Bilder geachtet habe als auf die Zeichen. Manche zeichen konnte ich gar nicht anschauen, da sie so schnell wieder weg waren","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/1280.bmp' width = '100%;'></div></div>","null","neg","CS","CS","3","category3/CS1.png","","","","",""
