"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","condition_code","measure","measure_code","codeword","gender","age","education","chinese","fach","handedness","comment","hinschauen","ablenkung","gewissenhaft","rt","url","responses","stimulus","key_press","val","type","type_specific","category","cs_selected","target","indirect","task","nr_pres","response"
"true","fullscreen","0","15101","0.0-0.0","ztzyh6dda9","many_one","0","indirect_first","0","ER06LF07","0","28","1","1","3","1","sehr schwer zu verstehen, auf was es bei der schnellen Abfolge von Zeichen und Laut ankommt. Selbstverständlich konzentriere ich mich hierbei eigentlich nur auf das Zeichen, das ich vorher schon gesehen habe und nicht auf den Laut der Aussprache.","0","1","0","","","","","","","","","","","","","","",""
"","external-html","1","173354","0.0-1.0","ztzyh6dda9","many_one","0","indirect_first","0","ER06LF07","0","28","1","1","3","1","sehr schwer zu verstehen, auf was es bei der schnellen Abfolge von Zeichen und Laut ankommt. Selbstverständlich konzentriere ich mich hierbei eigentlich nur auf das Zeichen, das ich vorher schon gesehen habe und nicht auf den Laut der Aussprache.","0","1","0","158200.11999993585","text/information.html","","","","","","","","","","","","",""
"","external-html","2","190445","0.0-2.0","ztzyh6dda9","many_one","0","indirect_first","0","ER06LF07","0","28","1","1","3","1","sehr schwer zu verstehen, auf was es bei der schnellen Abfolge von Zeichen und Laut ankommt. Selbstverständlich konzentriere ich mich hierbei eigentlich nur auf das Zeichen, das ich vorher schon gesehen habe und nicht auf den Laut der Aussprache.","0","1","0","17051.08500015922","text/consent.html","","","","","","","","","","","","",""
"","survey-html-form","3","320925","0.0-3.0","ztzyh6dda9","many_one","0","indirect_first","0","ER06LF07","0","28","1","1","3","1","sehr schwer zu verstehen, auf was es bei der schnellen Abfolge von Zeichen und Laut ankommt. Selbstverständlich konzentriere ich mich hierbei eigentlich nur auf das Zeichen, das ich vorher schon gesehen habe und nicht auf den Laut der Aussprache.","0","1","0","130478.9199999068","","{""codeword_enter"":""ER06LF07""}","","","","","","","","","","","",""
"","survey-html-form","4","371142","0.0-4.0","ztzyh6dda9","many_one","0","indirect_first","0","ER06LF07","0","28","1","1","3","1","sehr schwer zu verstehen, auf was es bei der schnellen Abfolge von Zeichen und Laut ankommt. Selbstverständlich konzentriere ich mich hierbei eigentlich nur auf das Zeichen, das ich vorher schon gesehen habe und nicht auf den Laut der Aussprache.","0","1","0","50212.18999987468","","{""age"":""28"",""education"":""1"",""subject"":""3"",""gender"":""0"",""handedness"":""1"",""chinese"":""1""}","","","","","","","","","","","",""
"","survey-html-form","5","391629","0.0-5.0","ztzyh6dda9","many_one","0","indirect_first","0","ER06LF07","0","28","1","1","3","1","sehr schwer zu verstehen, auf was es bei der schnellen Abfolge von Zeichen und Laut ankommt. Selbstverständlich konzentriere ich mich hierbei eigentlich nur auf das Zeichen, das ich vorher schon gesehen habe und nicht auf den Laut der Aussprache.","0","1","0","20485.404999926686","","{}","","","","","","","","","","","",""
"","html-keyboard-response","6","395648","0.0-6.0-0.0-0.0","ztzyh6dda9","many_one","0","indirect_first","0","ER06LF07","0","28","1","1","3","1","sehr schwer zu verstehen, auf was es bei der schnellen Abfolge von Zeichen und Laut ankommt. Selbstverständlich konzentriere ich mich hierbei eigentlich nur auf das Zeichen, das ich vorher schon gesehen habe und nicht auf den Laut der Aussprache.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/7380.bmp' width = '100%;'></div><div class = 'column'><img src = 'category1/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","1","category1/CS6.png","","","","",""
"","html-keyboard-response","7","398161","0.0-6.0-0.0-0.1","ztzyh6dda9","many_one","0","indirect_first","0","ER06LF07","0","28","1","1","3","1","sehr schwer zu verstehen, auf was es bei der schnellen Abfolge von Zeichen und Laut ankommt. Selbstverständlich konzentriere ich mich hierbei eigentlich nur auf das Zeichen, das ich vorher schon gesehen habe und nicht auf den Laut der Aussprache.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'usneg/6838.bmp' width = '100%;'></div><div class = 'column'><img src = 'category4/CS6.png' width = '70%;'></div></div>","null","neg","CS","CS","4","category4/CS6.png","","","","",""
"","html-keyboard-response","8","400683","0.0-6.0-0.0-0.2","ztzyh6dda9","many_one","0","indirect_first","0","ER06LF07","0","28","1","1","3","1","sehr schwer zu verstehen, auf was es bei der schnellen Abfolge von Zeichen und Laut ankommt. Selbstverständlich konzentriere ich mich hierbei eigentlich nur auf das Zeichen, das ich vorher schon gesehen habe und nicht auf den Laut der Aussprache.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'uspos/2165.bmp' width = '100%;'></div><div class = 'column'><img src = 'category3/CS1.png' width = '70%;'></div></div>","null","pos","CS","CS","3","category3/CS1.png","","","","",""
"","html-keyboard-response","9","403209","0.0-6.0-0.0-0.3","ztzyh6dda9","many_one","0","indirect_first","0","ER06LF07","0","28","1","1","3","1","sehr schwer zu verstehen, auf was es bei der schnellen Abfolge von Zeichen und Laut ankommt. Selbstverständlich konzentriere ich mich hierbei eigentlich nur auf das Zeichen, das ich vorher schon gesehen habe und nicht auf den Laut der Aussprache.","0","1","0","null","","","<div class = 'row'><div class = 'column'><img src = 'category1/CS8.png' width = '70%;'></div><div class = 'column'><img src = 'usneg/9290.bmp' width = '100%;'></div></div>","null","neg","CS","CS","1","category1/CS8.png","","","","",""
