"";"rt";"subject";"condition";"condition_code";"measure";"measure_code";"val";"type";"type_specific";"category";"cs_selected";"target";"nr_pres";"response"
"94";4341;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"3";"3/CS3";"45";0;0
"98";5014;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"4";"4/CS1";"37";1;1
"102";1898;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"4";"4/CS4";"23";2;0
"106";1259;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"3";"3/CS9";"29";3;1
"110";1339;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"pos";"GS";"GSold";"3";"3/CS2";"22";4;1
"114";2147;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"2";"2/CS1";"17";5;0
"118";1459;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"1";"1/CS6";"42";6;1
"122";902;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"4";"4/CS9";"47";7;1
"126";3060;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"4";"4/CS6";"36";8;1
"130";3453;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSold";"2";"2/CS7";"11";9;1
"134";699;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"1";"1/CS8";"3";10;0
"138";1322;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"1";"1/CS5";"1";11;0
"142";2618;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"2";"2/CS4";"41";12;1
"146";727;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"2";"2/CS10";"18";13;1
"150";796;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"neg";"CS";"CS";"2";"2/CS3";"31";14;1
"154";746;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"neg";"GS";"GSold";"2";"2/CS2";"44";15;0
"158";507;"02a80kdxm7";"many_one";"0";"indirect_first";"0";"pos";"CS";"CS";"4";"4/CS5";"13";16;1
